# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|55|079|0010|88101|1|7|105|117|19971230|00:00|9||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970404|00:00|31||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970410|00:00|25||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970416|00:00|12||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970422|00:00|5||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970428|00:00|32||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970504|00:00|2||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970510|00:00|7||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970516|00:00|10||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970522|00:00|8||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970528|00:00|13||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970603|00:00|12||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970609|00:00|17||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970615|00:00|3||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970621|00:00|12||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970627|00:00|18||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970703|00:00|10||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970709|00:00|9||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970715|00:00|11||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970721|00:00|20||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970727|00:00|14||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970802|00:00|20||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970808|00:00|24||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970814|00:00|18||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970820|00:00|16||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970826|00:00|31||6|||||||||||||
RD|I|55|133|0027|88101|1|7|105|117|19970901|00:00|16||6|||||||||||||
